"","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03"
"155","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/4/2015",0,0,0,81,57,NA,NA
"156","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/5/2015",0,0,0,70,55,1,NA
"157","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/6/2015",0,0,0,71,52,NA,NA
"158","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/7/2015",0.36,0,0,81,55,1,1
"159","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/8/2015",0.04,0,0,84,61,NA,1
"160","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/9/2015",0,0,0,85,60,NA,NA
"161","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/10/2015",0,0,0,92,68,NA,NA
"162","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/11/2015",0.27,0,0,72,58,1,NA
"163","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/12/2015",0.13,0,0,67,56,1,1
"164","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/13/2015",0.4,0,0,86,56,1,1
"165","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/14/2015",0.6,0,0,83,68,1,NA
"166","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/15/2015",2.56,0,0,80,68,1,1
"167","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/16/2015",0,0,0,72,56,1,NA
"168","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/17/2015",0.14,0,0,72,56,1,NA
"169","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/18/2015",0.27,0,0,79,58,1,1
"170","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/19/2015",0,0,0,67,54,NA,NA
"171","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/20/2015",0.31,0,0,78,53,1,1
"172","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/21/2015",0,0,0,84,67,NA,NA
"173","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/22/2015",0.09,0,0,83,66,1,1
"174","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/23/2015",0,0,0,82,63,NA,NA
"175","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/24/2015",0,0,0,79,60,NA,NA
"176","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/25/2015",1.01,0,0,79,61,1,1
"177","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/26/2015",0.13,0,0,67,58,1,NA
"178","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/27/2015",0,0,0,76,56,NA,NA
"179","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/28/2015",0.02,0,0,79,54,1,NA
"180","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/29/2015",0.62,0,0,75,64,1,1
"181","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","6/30/2015",0.17,0,0,77,57,1,NA
"182","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/1/2015",0,0,0,69,54,NA,NA
"183","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/2/2015",0,0,0,69,53,1,NA
"184","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/3/2015",0,0,0,77,55,NA,NA
"185","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/4/2015",0,0,0,81,59,NA,NA
"186","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/5/2015",0,0,0,83,60,1,NA
"187","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/6/2015",0.49,0,0,85,64,1,1
"188","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/7/2015",0.27,0,0,71,55,1,NA
"189","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/8/2015",0.07,0,0,67,54,1,NA
"190","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/9/2015",0,0,0,77,58,1,NA
"191","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/10/2015",0,0,0,83,59,1,NA
"192","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/11/2015",0.03,0,0,78,61,1,NA
"193","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/12/2015",0,0,0,83,69,1,NA
"194","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/13/2015",0.42,0,0,86,68,1,1
"195","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/14/2015",0,0,0,83,61,NA,NA
"196","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/15/2015",0,0,0,75,59,NA,NA
"197","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/16/2015",0.97,0,0,75,58,1,1
"198","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/17/2015",0.06,0,0,92,71,1,1
"199","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/18/2015",0.54,0,0,89,73,1,1
"200","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/19/2015",0,0,0,85,65,NA,NA
"201","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/20/2015",0,0,0,85,63,NA,NA
"202","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/21/2015",0,0,0,82,65,NA,NA
"203","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/22/2015",0,0,0,83,64,NA,NA
"204","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/23/2015",0,0,0,85,63,NA,NA
"205","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/24/2015",0,0,0,84,64,NA,NA
"206","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/25/2015",0,0,0,91,69,NA,NA
"207","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/26/2015",0,0,0,80,64,NA,NA
"208","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/27/2015",0,0,0,88,67,NA,NA
"209","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","7/28/2015",0,0,0,91,67,NA,NA
