STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/19/2015,8.5,,,,0.52,,0,0,68,71,66,,170,170,,,18.1,25.1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/20/2015,12.97,,,,0,,0,0,69,77,59,,220,220,,,25.9,35.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/21/2015,9.4,,,,0,,0,0,62,71,49,,300,300,,,23,28,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/22/2015,7.83,,,,0,,0,0,63,79,51,,300,300,,,23.9,29.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/23/2015,10.29,,,,0,,0,0,64,69,55,,330,350,,,16.1,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/24/2015,5.82,,,,0,,0,0,61,76,48,,20,20,,,12.1,19.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/25/2015,7.83,,,,0.92,,0,0,69,79,59,,240,240,,,23,33.1,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/26/2015,12.75,,,,0,,0,0,72,83,57,,310,320,,,23,31.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/27/2015,8.28,,,,0,,0,0,62,71,51,,340,330,,,18.1,23.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/28/2015,9.62,,,,0.02,,0,0,62,73,53,,160,150,,,18.1,25.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/29/2015,6.26,,,,0.84,,0,0,59,64,54,,80,80,,,21.9,25.1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/30/2015,10.96,,,,0,,0,0,61,74,52,,290,290,,,21,28,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/1/2015,11.41,,,,0,,0,0,61,70,48,,350,330,,,21,28,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/2/2015,3.58,,,,0,,0,0,64,77,52,,60,160,,,12.1,14.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/3/2015,4.25,,,,0,,0,0,68,79,55,,200,210,,,13,19.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/4/2015,4.03,,,,0,,0,0,71,81,59,,170,200,,,13,16.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/5/2015,5.82,,,,0,,0,0,71,81,59,,110,110,,,15,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/6/2015,4.03,,,,0,,0,0,71,82,60,,100,60,,,15,19.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/7/2015,4.03,,,,0,,0,0,74,84,61,,90,40,,,14.1,21.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/8/2015,3.58,,,,0,,0,0,76,87,63,,350,10,,,12.1,18.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/9/2015,4.92,,,,0,,0,0,77,85,69,,80,120,,,14.1,15,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/10/2015,3.8,,,,0,,0,0,78,89,68,,290,230,,,12.1,18.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/11/2015,5.82,,,,0,,0,0,80,89,69,,250,220,,,16.1,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/12/2015,8.05,,,,0,,0,0,77,84,70,,310,320,,,17,23,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/13/2015,8.05,,,,0,,0,0,74,85,62,,320,330,,,16.1,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/14/2015,8.5,,,,0,,0,0,73,84,63,,120,110,,,16.1,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/15/2015,7.16,,,,0,,0,0,75,80,68,,170,160,,,15,17,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/16/2015,7.83,,,,0,,0,0,75,85,67,,150,140,,,15,23,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/17/2015,6.49,,,,0.4,,0,0,76,85,68,,280,280,,,21.9,25.9,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/18/2015,2.46,,,,1.19,,0,0,75,83,69,,350,360,,,23,28,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/19/2015,6.26,,,,0,,0,0,75,85,69,,280,280,,,15,18.1,,,,,,,,
